image_name,strategy,direct_accuracy,neighbor_accuracy,ssim
image_64.jpg,center_fixed,0.1875,0.2054,0.3361
image_64.jpg,boundary_fixed,0.5781,0.4643,0.6088
image_64.jpg,random_fixed_3,0.2031,0.1964,0.3565
image_64.jpg,random_fixed_6,0.1250,0.0893,0.2867
image_64.jpg,random_fixed_9,0.3281,0.2768,0.4387
image_65.jpg,random,0.0000,0.2054,0.2016
image_65.jpg,center_fixed,0.0469,0.2768,0.2531
image_65.jpg,boundary_fixed,0.5781,0.4375,0.6306
image_65.jpg,random_fixed_3,0.1562,0.2500,0.2654
image_65.jpg,random_fixed_6,0.3281,0.2768,0.4660
image_65.jpg,random_fixed_9,0.3906,0.2768,0.4817
image_66.jpg,random,0.0000,0.3393,0.1634
image_66.jpg,center_fixed,0.0625,0.3393,0.2571
image_66.jpg,boundary_fixed,0.8125,0.6964,0.8261
image_66.jpg,random_fixed_3,0.2188,0.3482,0.3513
image_66.jpg,random_fixed_6,0.2500,0.3214,0.4182
image_66.jpg,random_fixed_9,0.4688,0.3661,0.5915
image_67.jpg,random,0.0156,0.2232,0.2891
image_67.jpg,center_fixed,0.0156,0.2768,0.2794
image_67.jpg,boundary_fixed,0.7656,0.6429,0.8360
image_67.jpg,random_fixed_3,0.1719,0.3036,0.4207
image_67.jpg,random_fixed_6,0.4688,0.4464,0.6320
image_67.jpg,random_fixed_9,0.4219,0.3661,0.6405
image_68.jpg,random,0.0000,0.1786,0.7400
image_68.jpg,center_fixed,0.0312,0.2768,0.7717
image_68.jpg,boundary_fixed,0.5938,0.4464,0.8923
image_68.jpg,random_fixed_3,0.0938,0.1518,0.7869
image_68.jpg,random_fixed_6,0.2969,0.2054,0.8770
image_68.jpg,random_fixed_9,0.2031,0.1071,0.7944
image_69.jpg,random,0.0156,0.2232,0.3800
image_69.jpg,center_fixed,0.1406,0.2679,0.5549
image_69.jpg,boundary_fixed,0.6250,0.5536,0.7492
image_69.jpg,random_fixed_3,0.2031,0.2321,0.5319
image_69.jpg,random_fixed_6,0.2344,0.1607,0.6570
image_69.jpg,random_fixed_9,0.5312,0.3929,0.7910
image_7.jpg,random,0.0000,0.2143,0.4897
image_7.jpg,center_fixed,0.2344,0.2500,0.6787
image_7.jpg,boundary_fixed,0.5469,0.4375,0.6673
image_7.jpg,random_fixed_3,0.0781,0.1964,0.5780
image_7.jpg,random_fixed_6,0.1562,0.2143,0.6186
image_7.jpg,random_fixed_9,0.2969,0.2232,0.6757
image_70.jpg,random,0.0000,0.2500,0.6469
image_70.jpg,center_fixed,0.5000,0.5446,0.8914
image_70.jpg,boundary_fixed,0.5938,0.5000,0.7708
